__sample_id__,__target__,carat,cut,color,clarity,depth,table,x,y,z
diamonds_015535,6224.0,1.5,Premium,G,SI2,61.8,60.0,7.28,7.25,4.49
diamonds_015536,6224.0,1.5,Good,I,SI1,63.8,56.0,7.26,7.15,4.59
diamonds_015537,6225.0,1.09,Ideal,I,VS1,61.8,55.0,6.59,6.62,4.08
diamonds_015538,6225.0,1.09,Ideal,I,VS1,61.4,56.0,6.61,6.66,4.07
diamonds_015539,6225.0,1.31,Ideal,H,SI2,62.3,56.0,7.0,6.97,4.35
diamonds_015540,6229.0,1.21,Very Good,H,SI1,60.2,58.0,6.89,6.93,4.16
diamonds_015541,6229.0,1.03,Premium,G,VS2,58.9,59.0,6.65,6.59,3.9
diamonds_015542,6229.0,1.03,Ideal,G,VS2,60.3,56.0,6.59,6.55,3.96
diamonds_015543,6230.0,1.25,Premium,H,SI2,62.2,60.0,6.83,6.8,4.24
diamonds_015544,6230.0,0.9,Ideal,E,VS1,61.7,56.0,6.19,6.22,3.83
diamonds_015545,6232.0,1.24,Ideal,I,SI1,62.0,58.0,6.83,6.88,4.25
diamonds_015546,6232.0,1.07,Premium,E,VS2,62.5,57.0,6.6,6.53,4.1
diamonds_015547,6232.0,1.04,Very Good,G,VS2,63.4,55.0,6.48,6.42,4.09
diamonds_015548,6233.0,1.23,Very Good,F,SI2,61.9,58.0,6.77,6.79,4.2
diamonds_015549,6235.0,1.0,Ideal,G,VS2,58.9,60.0,6.53,6.58,3.86
diamonds_015550,6236.0,1.31,Premium,J,VS1,62.3,56.0,7.06,6.99,4.38
diamonds_015551,6236.0,1.31,Premium,H,SI2,61.4,60.0,7.04,7.0,4.31
diamonds_015552,6236.0,1.28,Premium,G,SI2,62.6,58.0,6.94,6.89,4.33
diamonds_015553,6237.0,1.34,Very Good,J,VS1,61.7,59.0,7.03,7.14,4.37
diamonds_015554,6237.0,1.34,Very Good,J,VS1,63.0,57.0,6.9,7.01,4.38
diamonds_015555,6237.0,1.22,Premium,E,SI2,61.5,58.0,6.81,6.85,4.2
diamonds_015556,6237.0,0.9,Ideal,G,VVS1,62.9,56.0,6.11,6.19,3.87
diamonds_015557,6238.0,1.53,Good,I,SI2,63.9,59.0,7.31,7.17,4.64
diamonds_015558,6238.0,1.02,Premium,G,VS1,62.0,59.0,6.45,6.39,3.98
diamonds_015559,6238.0,1.02,Premium,F,VS1,61.4,59.0,6.48,6.42,3.96
diamonds_015560,6239.0,1.01,Very Good,G,VS1,60.5,60.0,6.44,6.52,3.92
diamonds_015561,6239.0,1.01,Very Good,G,VS1,60.7,63.0,6.38,6.4,3.88
diamonds_015562,6239.0,1.01,Premium,G,VS1,59.9,59.0,6.48,6.51,3.89
diamonds_015563,6239.0,1.01,Ideal,G,VS2,61.6,56.0,6.43,6.46,3.97
diamonds_015564,6239.0,1.26,Ideal,H,SI2,62.0,55.0,6.9,6.97,4.29
diamonds_015565,6240.0,1.06,Ideal,G,VS2,61.8,57.0,6.56,6.52,4.04
diamonds_015566,6241.0,1.03,Ideal,G,VS2,61.8,56.0,6.54,6.48,4.02
diamonds_015567,6241.0,1.11,Ideal,D,SI2,61.3,56.0,6.74,6.68,4.12
diamonds_015568,6244.0,1.01,Premium,F,VS2,62.3,58.0,6.34,6.4,3.97
diamonds_015569,6244.0,1.01,Premium,F,VS2,61.5,58.0,6.41,6.46,3.96
diamonds_015570,6245.0,1.0,Very Good,E,VS2,62.9,59.0,6.27,6.38,3.98
diamonds_015571,6246.0,1.56,Good,I,SI1,64.0,57.0,7.32,7.28,4.67
diamonds_015572,6246.0,1.56,Good,G,SI2,63.7,54.0,7.35,7.31,4.67
diamonds_015573,6246.0,1.3,Premium,I,VS2,62.7,58.0,6.97,6.9,4.35
diamonds_015574,6247.0,1.01,Good,G,VS1,58.7,62.0,6.49,6.55,3.83
diamonds_015575,6248.0,1.0,Good,E,VS2,62.4,58.0,6.33,6.4,3.97
diamonds_015576,6248.0,1.21,Very Good,D,SI2,62.4,58.0,6.77,6.83,4.24
diamonds_015577,6249.0,1.0,Very Good,H,VVS2,62.6,56.0,6.36,6.39,3.99
diamonds_015578,6249.0,1.06,Ideal,F,SI1,61.7,55.1,6.56,6.58,4.06
diamonds_015579,6250.0,1.03,Ideal,D,SI1,61.9,57.0,6.52,6.54,4.04
diamonds_015580,6250.0,1.01,Good,E,VS2,60.8,63.0,6.44,6.46,3.92
diamonds_015581,6250.0,1.22,Good,H,SI2,63.5,56.0,6.84,6.77,4.32
diamonds_015582,6250.0,1.2,Premium,H,VS2,60.7,60.0,6.88,6.82,4.16
diamonds_015583,6250.0,1.2,Premium,F,SI1,62.4,58.0,6.81,6.75,4.23
diamonds_015584,6250.0,1.2,Premium,I,VS1,59.9,59.0,6.96,6.87,4.14
diamonds_015585,6250.0,1.0,Good,D,VS1,64.0,58.0,6.27,6.21,3.99
diamonds_015586,6250.0,1.5,Premium,H,SI2,61.1,59.0,7.41,7.35,4.51
diamonds_015587,6250.0,1.5,Fair,H,SI2,64.6,59.0,7.2,7.11,4.62
diamonds_015588,6252.0,1.39,Ideal,J,VS2,60.3,57.0,7.24,7.26,4.37
diamonds_015589,6254.0,1.35,Premium,J,VS2,60.5,56.0,7.19,7.12,4.33
diamonds_015590,6254.0,1.24,Ideal,H,SI1,61.3,57.0,6.95,6.89,4.24
diamonds_015591,6255.0,1.04,Ideal,H,VS1,62.2,56.6,6.43,6.49,4.02
diamonds_015592,6255.0,1.05,Ideal,H,SI1,61.3,57.0,6.51,6.54,4.0
diamonds_015593,6255.0,1.53,Ideal,I,SI2,61.8,56.0,7.4,7.35,4.56
diamonds_015594,6256.0,1.14,Premium,G,VS2,61.9,58.0,6.72,6.68,4.15
diamonds_015595,6256.0,1.14,Premium,D,SI1,58.9,59.0,6.84,6.78,4.01
diamonds_015596,6256.0,1.33,Premium,E,SI2,61.0,60.0,7.13,7.05,4.33
diamonds_015597,6257.0,1.24,Premium,I,VS2,60.2,58.0,6.98,6.93,4.19
diamonds_015598,6257.0,1.01,Very Good,F,VS2,58.8,63.0,6.51,6.56,3.84
diamonds_015599,6257.0,1.01,Very Good,F,VS2,59.2,59.0,6.49,6.61,3.88
diamonds_015600,6257.0,1.01,Very Good,G,VVS2,61.9,58.0,6.38,6.48,3.98
diamonds_015601,6257.0,1.01,Ideal,D,SI1,62.2,54.0,6.42,6.45,4.0
diamonds_015602,6259.0,1.09,Ideal,D,SI1,62.8,54.0,6.6,6.62,4.15
diamonds_015603,6260.0,1.04,Ideal,E,SI1,62.6,53.0,6.49,6.52,4.07
diamonds_015604,6260.0,1.38,Ideal,J,SI1,61.8,56.0,7.17,7.14,4.42
diamonds_015605,6260.0,1.37,Premium,G,SI2,62.4,58.0,7.1,7.0,4.4
diamonds_015606,6261.0,1.3,Premium,F,SI2,61.1,58.0,7.02,6.98,4.28
diamonds_015607,6261.0,1.21,Premium,E,SI1,60.0,60.0,7.01,6.92,4.18
diamonds_015608,6261.0,1.21,Premium,E,SI1,63.0,57.0,6.75,6.7,4.24
diamonds_015609,6261.0,1.54,Good,E,I1,63.3,60.0,7.26,7.3,4.61
diamonds_015610,6261.0,1.21,Ideal,F,VS2,62.6,55.0,6.81,6.74,4.24
diamonds_015611,6261.0,1.0,Ideal,E,VS2,62.0,56.0,6.42,6.36,3.96
diamonds_015612,6262.0,1.07,Very Good,H,VS1,62.5,56.0,6.52,6.55,4.08
diamonds_015613,6262.0,1.12,Very Good,F,SI1,62.9,57.0,6.6,6.62,4.16
diamonds_015614,6263.0,1.0,Very Good,G,VS1,62.4,60.0,6.37,6.39,3.98
diamonds_015615,6263.0,1.31,Very Good,H,SI2,61.7,59.0,6.96,7.01,4.31
diamonds_015616,6264.0,1.02,Ideal,H,SI1,61.8,57.0,6.43,6.46,3.98
diamonds_015617,6265.0,1.01,Very Good,E,VS2,61.7,60.0,6.36,6.45,3.95
diamonds_015618,6266.0,1.51,Good,I,SI1,63.8,59.0,7.27,7.21,4.62
diamonds_015619,6266.0,1.51,Premium,G,SI2,60.0,60.0,7.45,7.4,4.48
diamonds_015620,6267.0,1.0,Good,F,VS2,63.3,55.0,6.29,6.34,4.0
diamonds_015621,6267.0,1.01,Very Good,F,VS2,63.1,56.0,6.41,6.37,4.03
diamonds_015622,6268.0,1.01,Very Good,E,SI1,60.8,59.0,6.43,6.5,3.93
diamonds_015623,6268.0,1.0,Fair,E,VS2,57.4,58.0,6.57,6.64,3.79
diamonds_015624,6270.0,1.01,Very Good,D,SI1,61.4,59.0,6.37,6.43,3.93
diamonds_015625,6270.0,1.01,Very Good,D,SI1,63.6,59.0,6.33,6.37,4.04
diamonds_015626,6271.0,1.01,Fair,G,VS2,59.1,56.0,6.55,6.52,3.86
diamonds_015627,6271.0,1.01,Premium,F,VS2,62.4,56.0,6.43,6.35,3.99
diamonds_015628,6271.0,1.01,Premium,F,VS2,58.9,58.0,6.59,6.51,3.86
diamonds_015629,6271.0,1.01,Premium,F,VS2,62.7,58.0,6.37,6.3,3.97
diamonds_015630,6271.0,1.01,Premium,F,VS2,62.3,58.0,6.34,6.3,3.94
diamonds_015631,6271.0,1.01,Good,F,VS2,60.8,61.0,6.42,6.45,3.91
diamonds_015632,6271.0,1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0
diamonds_015633,6271.0,1.01,Premium,F,VS2,61.3,61.0,6.38,6.34,3.9
diamonds_015634,6271.0,1.01,Fair,F,VS2,61.1,60.0,6.49,6.4,3.94
diamonds_015635,6271.0,1.01,Premium,D,VS2,61.6,59.0,6.38,6.32,3.91
diamonds_015636,6271.0,1.01,Premium,F,VS2,62.5,58.0,6.43,6.4,4.01
diamonds_015637,6271.0,1.01,Ideal,G,VS2,61.6,57.0,6.44,6.41,3.96
diamonds_015638,6271.0,1.01,Premium,F,VS2,60.4,59.0,6.52,6.46,3.92
diamonds_015639,6272.0,1.0,Premium,E,VS2,62.8,62.0,6.29,6.26,3.94
diamonds_015640,6272.0,1.18,Ideal,I,VS1,62.2,55.0,6.8,6.77,4.22
diamonds_015641,6272.0,1.0,Premium,G,VS2,61.6,58.0,6.44,6.42,3.96
diamonds_015642,6272.0,1.6,Fair,F,SI2,65.0,56.0,7.35,7.26,4.8
diamonds_015643,6272.0,1.0,Good,E,VS2,57.4,62.0,6.56,6.53,3.76
diamonds_015644,6272.0,1.0,Ideal,G,VS2,62.3,54.0,6.42,6.38,3.99
diamonds_015645,6272.0,1.0,Premium,G,VS2,60.1,57.0,6.42,6.35,3.84
diamonds_015646,6272.0,1.0,Good,E,VS2,63.8,58.0,6.31,6.19,3.99
diamonds_015647,6272.0,1.0,Premium,E,VS2,59.9,59.0,6.45,6.38,3.84
diamonds_015648,6274.0,1.07,Very Good,G,VS2,62.3,57.0,6.56,6.47,4.06
diamonds_015649,6274.0,1.07,Premium,F,VS2,62.4,57.0,6.55,6.5,4.07
diamonds_015650,6275.0,1.19,Ideal,H,SI1,62.0,56.4,6.77,6.81,4.2
diamonds_015651,6275.0,1.0,Good,E,SI1,61.1,58.0,6.43,6.41,3.92
diamonds_015652,6277.0,1.26,Ideal,F,SI2,62.7,58.0,6.91,6.87,4.32
diamonds_015653,6278.0,1.54,Premium,I,SI2,61.5,61.0,7.41,7.31,4.53
diamonds_015654,6278.0,1.22,Very Good,G,SI1,63.4,57.0,6.74,6.77,4.28
diamonds_015655,6278.0,1.04,Premium,F,VS2,59.6,62.0,6.62,6.56,3.93
diamonds_015656,6278.0,1.04,Premium,H,VVS2,59.1,60.0,6.66,6.6,3.92
diamonds_015657,6279.0,1.36,Very Good,H,SI2,61.5,58.0,7.09,7.16,4.38
diamonds_015658,6279.0,1.05,Ideal,I,VS2,62.2,55.8,6.49,6.52,4.04
diamonds_015659,6279.0,1.21,Ideal,I,VS1,60.3,60.0,6.89,6.93,4.17
diamonds_015660,6279.0,1.0,Good,E,VS2,60.7,62.0,6.33,6.46,3.88
diamonds_015661,6279.0,1.29,Premium,I,VS2,62.2,57.0,7.01,6.97,4.35
diamonds_015662,6281.0,1.35,Ideal,J,SI1,62.3,57.0,7.02,7.08,4.39
diamonds_015663,6282.0,1.2,Premium,H,SI1,60.8,60.0,6.9,6.85,4.18
diamonds_015664,6283.0,1.0,Very Good,F,VS2,62.5,58.0,6.32,6.36,3.96
diamonds_015665,6283.0,1.32,Premium,I,SI1,62.2,58.0,7.04,6.99,4.36
diamonds_015666,6283.0,1.01,Good,G,VS1,63.8,56.0,6.27,6.34,4.02
diamonds_015667,6284.0,1.1,Premium,G,VS2,60.5,60.0,6.67,6.58,4.01
diamonds_015668,6285.0,1.0,Very Good,E,VS2,64.0,59.0,6.22,6.31,4.01
diamonds_015669,6285.0,1.0,Fair,E,VS2,57.3,64.0,6.59,6.46,3.79
diamonds_015670,6286.0,1.18,Very Good,G,SI1,60.8,58.0,6.81,6.85,4.15
diamonds_015671,6286.0,1.04,Ideal,G,VS2,62.0,59.0,6.43,6.5,4.01
diamonds_015672,6286.0,1.04,Ideal,G,VS2,59.4,58.0,6.63,6.67,3.95
diamonds_015673,6288.0,1.01,Very Good,F,VS2,58.8,59.0,6.55,6.59,3.86
diamonds_015674,6288.0,1.01,Very Good,F,VS2,60.8,58.0,6.44,6.49,3.93
diamonds_015675,6288.0,1.01,Very Good,F,VS2,59.4,61.0,6.48,6.51,3.86
diamonds_015676,6288.0,1.23,Ideal,E,SI2,61.2,55.0,6.92,7.01,4.26
diamonds_015677,6288.0,1.32,Ideal,J,VS2,62.3,57.0,6.96,7.0,4.35
diamonds_015678,6288.0,1.09,Ideal,H,VS2,61.3,56.0,6.57,6.63,4.05
diamonds_015679,6288.0,1.01,Good,F,VS2,61.7,58.0,6.3,6.34,3.9
diamonds_015680,6288.0,1.01,Good,F,VS2,62.1,58.0,6.28,6.35,3.92
diamonds_015681,6288.0,1.22,Premium,G,SI1,62.3,58.0,6.83,6.76,4.23
diamonds_015682,6289.0,0.9,Very Good,E,VVS2,62.2,60.0,6.04,6.12,3.78
diamonds_015683,6289.0,1.01,Very Good,F,VS2,63.7,56.0,6.29,6.34,4.02
diamonds_015684,6289.0,2.49,Fair,J,I1,66.3,58.0,8.26,8.18,5.45
diamonds_015685,6289.0,1.23,Ideal,D,SI2,60.6,54.0,6.97,7.02,4.24
diamonds_015686,6289.0,1.23,Ideal,D,SI2,62.4,56.0,6.81,6.87,4.27
diamonds_015687,6290.0,1.3,Very Good,I,VS2,62.7,57.0,6.88,6.9,4.32
diamonds_015688,6290.0,1.04,Ideal,G,VS2,61.4,57.0,6.53,6.5,4.0
diamonds_015689,6290.0,1.04,Premium,G,VS2,62.5,58.0,6.47,6.43,4.03
diamonds_015690,607.0,0.29,Ideal,G,VVS2,61.4,57.0,4.27,4.3,2.63
diamonds_015691,607.0,0.29,Ideal,G,VVS2,60.7,54.0,4.33,4.37,2.64
diamonds_015692,607.0,0.29,Ideal,G,VVS2,61.9,56.0,4.24,4.25,2.62
diamonds_015693,607.0,0.36,Ideal,I,VVS1,61.6,56.0,4.58,4.61,2.83
diamonds_015694,607.0,0.29,Ideal,H,VVS1,62.1,55.0,4.28,4.3,2.66
diamonds_015695,607.0,0.29,Ideal,G,VVS1,62.3,55.0,4.25,4.29,2.66
diamonds_015696,607.0,0.29,Ideal,G,VVS1,62.8,54.0,4.21,4.24,2.65
diamonds_015697,607.0,0.35,Ideal,F,SI1,61.5,54.0,4.57,4.6,2.82
diamonds_015698,607.0,0.29,Ideal,H,IF,62.2,55.0,4.25,4.28,2.65
diamonds_015699,607.0,0.29,Ideal,H,IF,60.7,57.0,4.3,4.33,2.62
diamonds_015700,607.0,0.29,Ideal,H,IF,62.1,55.0,4.26,4.29,2.65
diamonds_015701,607.0,0.34,Ideal,G,SI1,62.7,57.0,4.51,4.48,2.82
diamonds_015702,607.0,0.31,Good,F,VS1,63.9,55.0,4.27,4.3,2.74
diamonds_015703,608.0,0.24,Very Good,F,VVS2,61.8,56.0,4.01,4.04,2.48
diamonds_015704,608.0,0.24,Very Good,F,VVS2,61.7,56.0,3.98,4.0,2.45
diamonds_015705,608.0,0.24,Very Good,F,VVS2,60.6,59.0,4.04,4.06,2.45
diamonds_015706,608.0,0.24,Very Good,E,VVS2,62.2,56.0,3.96,3.98,2.47
diamonds_015707,608.0,0.24,Very Good,E,VVS2,62.4,54.0,3.96,3.99,2.48
diamonds_015708,608.0,0.24,Very Good,F,VVS1,62.2,57.0,3.97,4.0,2.48
diamonds_015709,608.0,0.24,Very Good,F,VVS1,62.3,56.0,3.97,4.01,2.49
diamonds_015710,608.0,0.24,Very Good,F,VVS1,60.4,56.0,4.05,4.07,2.45
diamonds_015711,608.0,0.24,Very Good,F,VVS1,62.5,55.0,3.98,4.02,2.49
diamonds_015712,608.0,0.37,Very Good,H,VS2,63.5,59.0,4.51,4.55,2.88
diamonds_015713,608.0,0.37,Ideal,G,SI1,61.0,56.0,4.61,4.68,2.84
diamonds_015714,608.0,0.36,Premium,G,SI2,59.3,59.0,4.66,4.62,2.75
diamonds_015715,608.0,0.36,Premium,G,SI2,62.4,58.0,4.58,4.56,2.85
diamonds_015716,608.0,0.36,Premium,G,SI2,60.8,58.0,4.61,4.57,2.79
diamonds_015717,608.0,0.36,Premium,G,SI2,61.9,56.0,4.59,4.55,2.83
diamonds_015718,608.0,0.3,Premium,H,VS2,61.1,59.0,4.37,4.3,2.65
diamonds_015719,608.0,0.3,Ideal,I,VS1,61.6,56.0,4.36,4.31,2.67
diamonds_015720,6290.0,1.04,Ideal,G,VS2,61.8,56.0,6.5,6.47,4.01
diamonds_015721,6290.0,1.04,Ideal,G,VS2,61.9,57.0,6.5,6.46,4.01
diamonds_015722,6290.0,1.0,Premium,G,VS1,62.4,62.0,6.37,6.33,3.96
diamonds_015723,6290.0,1.04,Ideal,G,VS2,62.6,55.0,6.49,6.45,4.05
diamonds_015724,6290.0,1.04,Premium,G,VS2,62.6,56.0,6.44,6.41,4.02
diamonds_015725,6290.0,1.0,Ideal,G,VS1,62.9,57.0,6.36,6.32,3.99
diamonds_015726,6290.0,1.0,Premium,G,VS1,62.3,58.0,6.39,6.3,3.95
diamonds_015727,6291.0,1.01,Very Good,G,VS2,63.5,57.0,6.36,6.39,4.05
diamonds_015728,6291.0,1.23,Premium,H,VS2,61.4,59.0,6.85,6.87,4.21
diamonds_015729,6291.0,1.51,Fair,H,SI2,65.4,60.0,7.06,6.96,4.6
diamonds_015730,6291.0,0.95,Ideal,F,SI1,61.7,56.0,6.31,6.34,3.9
diamonds_015731,6291.0,1.51,Fair,H,SI2,64.5,59.0,7.21,7.15,4.63
diamonds_015732,6291.0,1.11,Ideal,E,SI1,61.4,58.0,6.66,6.62,4.08
diamonds_015733,6292.0,1.21,Ideal,I,VS1,60.5,58.0,6.95,6.89,4.19
diamonds_015734,6294.0,1.03,Very Good,H,VS1,61.9,59.0,6.44,6.49,4.0
diamonds_015735,6294.0,1.32,Very Good,G,SI2,62.9,57.0,6.94,6.98,4.38
diamonds_015736,6295.0,1.01,Ideal,G,VS2,62.0,54.9,6.41,6.44,3.99
diamonds_015737,6295.0,1.01,Ideal,G,VS2,59.6,59.0,6.52,6.57,3.9
diamonds_015738,6295.0,1.01,Ideal,G,VS2,62.0,57.0,6.4,6.44,3.98
diamonds_015739,6295.0,1.01,Ideal,G,VS2,60.6,58.0,6.44,6.5,3.92
diamonds_015740,6296.0,1.0,Very Good,G,VS2,60.8,55.0,6.46,6.49,3.94
diamonds_015741,6296.0,1.06,Premium,G,VS2,60.4,58.0,6.64,6.68,4.02
diamonds_015742,6296.0,1.0,Very Good,H,VVS1,63.5,60.0,6.36,6.3,4.02
diamonds_015743,6296.0,1.0,Premium,F,VS2,62.9,59.0,6.47,6.4,4.02
diamonds_015744,6296.0,1.0,Premium,F,VS2,62.2,57.0,6.43,6.4,3.99
diamonds_015745,6296.0,1.0,Very Good,F,VS2,63.2,59.0,6.35,6.3,4.0
diamonds_015746,6299.0,1.21,Good,J,IF,62.1,60.0,6.81,6.87,4.25
diamonds_015747,6299.0,1.03,Ideal,D,SI1,62.2,56.0,6.48,6.45,4.02
diamonds_015748,6299.0,1.54,Ideal,G,I1,61.6,55.0,7.43,7.4,4.57
diamonds_015749,6300.0,1.25,Premium,G,SI2,60.4,59.0,6.98,6.96,4.21
diamonds_015750,6300.0,1.25,Premium,I,VS2,61.2,58.0,6.94,6.89,4.23
diamonds_015751,6300.0,1.32,Very Good,I,SI2,61.2,58.0,7.12,7.06,4.34
diamonds_015752,6300.0,1.5,Very Good,E,SI2,63.5,60.0,7.19,7.12,4.54
diamonds_015753,6300.0,1.29,Ideal,H,SI2,61.6,54.0,7.0,7.02,4.32
diamonds_015754,6300.0,1.15,Ideal,I,SI1,61.9,56.0,6.68,6.72,4.15
diamonds_015755,6300.0,1.15,Ideal,I,SI1,61.8,55.0,6.73,6.76,4.17
diamonds_015756,6300.0,1.5,Premium,D,I1,61.7,62.0,7.28,7.24,4.48
diamonds_015757,6300.0,1.5,Good,E,SI2,61.5,65.0,7.21,7.17,4.42
diamonds_015758,6300.0,1.25,Ideal,G,SI2,61.5,56.0,7.0,6.92,4.28
diamonds_015759,6301.0,1.02,Premium,G,VS2,62.5,58.0,6.41,6.46,4.02
diamonds_015760,6301.0,1.02,Very Good,G,VS1,62.6,58.0,6.36,6.46,4.01
diamonds_015761,6301.0,1.16,Very Good,F,SI1,63.4,55.0,6.73,6.65,4.24
diamonds_015762,6302.0,1.21,Ideal,H,VS2,62.9,57.0,6.8,6.75,4.26
diamonds_015763,6302.0,1.3,Very Good,I,SI1,62.3,58.0,6.93,6.96,4.33
diamonds_015764,6302.0,0.9,Ideal,G,VVS2,61.6,56.0,6.2,6.23,3.83
diamonds_015765,6303.0,1.2,Ideal,I,VS2,61.1,58.0,6.83,6.86,4.18
diamonds_015766,6303.0,1.0,Premium,D,VS2,61.2,61.0,6.39,6.35,3.9
diamonds_015767,6303.0,1.34,Ideal,D,I1,61.7,55.0,7.12,7.08,4.38
diamonds_015768,6304.0,1.18,Ideal,I,VS2,62.3,56.0,6.76,6.73,4.21
diamonds_015769,6306.0,1.02,Ideal,F,VS2,61.5,57.0,6.48,6.5,3.99
diamonds_015770,6306.0,1.5,Good,J,SI2,63.6,58.0,7.18,7.25,4.59
diamonds_015771,6306.0,1.56,Premium,J,SI2,61.4,58.0,7.38,7.43,4.55
diamonds_015772,6307.0,1.3,Very Good,H,SI1,63.4,57.0,6.93,6.88,4.38
diamonds_015773,6307.0,1.03,Premium,F,VS2,62.4,58.0,6.47,6.42,4.02
diamonds_015774,6308.0,1.28,Ideal,I,VS2,61.4,57.0,7.04,6.97,4.3
diamonds_015775,6309.0,1.12,Ideal,H,VS1,61.9,57.0,6.66,6.69,4.13
diamonds_015776,6310.0,1.01,Very Good,E,VS2,62.3,58.0,6.39,6.45,4.0
diamonds_015777,6311.0,1.11,Very Good,G,VS2,62.3,58.0,6.59,6.61,4.11
diamonds_015778,6313.0,1.83,Premium,G,I1,62.0,58.0,7.84,7.8,4.85
diamonds_015779,6313.0,1.15,Ideal,G,SI1,62.0,55.0,6.72,6.76,4.18
diamonds_015780,6315.0,1.0,Very Good,E,VS2,63.8,59.0,6.25,6.32,4.01
diamonds_015781,6315.0,2.01,Fair,G,I1,70.2,57.0,7.53,7.5,5.27
diamonds_015782,6315.0,1.0,Good,E,VS2,64.1,54.0,6.26,6.31,4.03
diamonds_015783,6316.0,1.45,Very Good,J,SI1,62.4,57.0,7.16,7.23,4.49
diamonds_015784,6316.0,1.05,Ideal,E,SI1,60.7,55.0,6.62,6.67,4.03
diamonds_015785,6316.0,1.33,Premium,I,VS2,62.5,61.0,7.02,6.99,4.38
diamonds_015786,6317.0,1.12,Ideal,I,VVS2,61.6,54.0,6.72,6.74,4.14
diamonds_015787,6317.0,1.02,Ideal,H,VS1,61.4,57.0,6.47,6.44,3.97
diamonds_015788,6318.0,1.26,Very Good,I,SI1,61.9,58.0,6.97,6.92,4.3
diamonds_015789,6319.0,1.0,Very Good,F,VS2,62.7,58.0,6.38,6.41,4.01
diamonds_015790,6319.0,1.08,Very Good,F,VS2,63.1,57.0,6.56,6.5,4.12
diamonds_015791,6319.0,1.24,Premium,D,SI1,59.3,60.0,7.05,7.01,4.16
diamonds_015792,6320.0,1.26,Very Good,H,SI1,62.1,57.0,6.88,6.94,4.29
diamonds_015793,6320.0,1.69,Premium,I,I1,62.4,60.0,7.56,7.59,4.73
diamonds_015794,6320.0,1.71,Ideal,J,SI1,62.8,57.0,7.58,7.55,4.75
diamonds_015795,6320.0,1.14,Premium,F,SI1,60.4,58.0,6.82,6.79,4.11
diamonds_015796,6321.0,1.29,Premium,I,VS2,60.4,58.0,7.12,7.03,4.27
diamonds_015797,6321.0,1.29,Ideal,G,SI2,61.5,55.0,7.03,6.99,4.31
diamonds_015798,6321.0,1.17,Ideal,G,VS2,62.2,57.0,6.75,6.72,4.19
diamonds_015799,6322.0,1.12,Ideal,G,VS2,62.1,57.0,6.63,6.6,4.11
diamonds_015800,6323.0,1.31,Premium,I,VS2,61.9,59.0,7.02,6.98,4.33
diamonds_015801,6323.0,1.22,Very Good,H,SI1,62.4,57.0,6.78,6.82,4.24
diamonds_015802,6323.0,1.22,Very Good,H,SI1,62.5,59.0,6.79,6.82,4.25
diamonds_015803,6324.0,1.21,Very Good,E,SI1,62.9,58.0,6.78,6.79,4.27
diamonds_015804,6324.0,1.17,Ideal,H,VS2,60.3,61.0,6.84,6.8,4.11
diamonds_015805,6324.0,1.07,Ideal,G,VS2,61.1,59.0,6.62,6.57,4.03
diamonds_015806,6324.0,1.0,Ideal,E,SI1,62.4,55.0,6.34,6.42,3.98
diamonds_015807,6324.0,1.2,Ideal,I,VS1,62.1,57.0,6.84,6.8,4.23
diamonds_015808,6325.0,1.06,Premium,G,VS2,60.1,58.0,6.67,6.64,4.0
diamonds_015809,6325.0,1.06,Very Good,G,VS2,63.1,59.0,6.48,6.45,4.08
diamonds_015810,6326.0,1.01,Very Good,G,VS1,62.7,56.0,6.36,6.46,4.02
diamonds_015811,6327.0,1.3,Good,D,SI2,57.1,63.0,7.22,7.27,4.14
diamonds_015812,6327.0,1.24,Premium,H,SI1,60.1,58.0,7.04,7.01,4.22
diamonds_015813,6327.0,1.29,Ideal,J,SI1,61.6,57.0,6.98,7.01,4.32
diamonds_015814,6327.0,1.03,Premium,G,VS2,62.3,59.0,6.42,6.38,3.99
diamonds_015815,6328.0,2.14,Fair,H,I1,66.4,56.0,8.0,7.92,5.29
diamonds_015816,6328.0,1.18,Ideal,E,SI2,60.9,57.0,6.86,6.89,4.19
diamonds_015817,6328.0,1.0,Good,D,SI1,64.1,56.0,6.28,6.24,4.01
diamonds_015818,6328.0,1.0,Premium,F,VS2,62.8,59.0,6.35,6.32,3.98
diamonds_015819,6328.0,1.0,Ideal,G,VS2,60.5,56.0,6.54,6.49,3.94
diamonds_015820,6328.0,1.0,Premium,F,VS2,62.2,59.0,6.37,6.29,3.94
diamonds_015821,6330.0,1.01,Premium,F,VS2,60.8,58.0,6.44,6.49,3.93
diamonds_015822,6330.0,1.01,Good,F,VS2,63.9,58.0,6.32,6.39,4.06
diamonds_015823,6332.0,1.26,Ideal,J,VS1,62.2,58.0,6.88,6.92,4.29
diamonds_015824,6332.0,1.01,Good,F,VS2,60.6,62.0,6.52,6.49,3.94
diamonds_015825,6333.0,1.02,Premium,F,VS2,62.7,59.0,6.44,6.41,4.03
diamonds_015826,6333.0,1.2,Premium,H,VS2,61.4,59.0,6.79,6.75,4.16
diamonds_015827,6333.0,1.02,Ideal,G,VS2,60.6,56.0,6.56,6.52,3.96
diamonds_015828,6334.0,1.04,Very Good,G,VS2,61.1,56.0,6.54,6.56,4.01
